video_id,platform,post_date,post_time,caption,hook_text,hook_type,topic,format,video_length_seconds,editing_time_minutes,views,likes,comments,shares,saves,followers_gained,revenue,notes
1,TikTok,2026-05-01,18:00,Best AI Tool This Week,This AI feels illegal,Shocking Fact,AI,Review,22,45,48200,3100,240,620,430,210,0,High performer
2,Instagram Reels,2026-05-02,12:00,Study Hack for Finals,Stop studying like this,Mistake,Study Tips,Tutorial,28,30,19500,1400,110,180,220,70,0,Strong engagement
3,YouTube Shorts,2026-05-03,15:00,Python in 60 Seconds,Learn Python fast,Tutorial Hook,Coding,Tutorial,55,60,32000,2200,160,260,340,120,0,Consistent performer
4,TikTok,2026-05-04,20:00,Why Most Startups Fail,Nobody talks about this,Hot Take,Business,Storytelling,45,50,15100,820,75,90,100,45,0,Average
5,TikTok,2026-05-05,17:00,Best Productivity App,This changed my workflow,Story Hook,Productivity,Review,24,35,40200,2600,180,450,390,180,0,High performer
6,Instagram Reels,2026-05-06,11:00,Marketing Strategy Explained,Here's the secret,Question,Marketing,Case Study,60,70,12800,620,44,70,60,30,0,Average
7,YouTube Shorts,2026-05-07,14:00,Tech News Recap,You missed this,Shocking Fact,Tech News,Listicle,40,25,22400,1300,95,140,150,60,0,Good
8,TikTok,2026-05-08,19:00,Finance Tip Everyone Needs,Do this before 25,Problem Solution,Finance,Tutorial,20,20,61300,4200,310,820,670,350,0,Top performer
9,Instagram Reels,2026-05-09,13:00,Career Advice,My biggest career mistake,Mistake,Career,Storytelling,34,40,18200,920,60,95,110,40,0,Average
10,YouTube Shorts,2026-05-10,10:00,AI Business Idea,Steal this business idea,Hot Take,AI,Case Study,58,80,28100,1900,170,260,280,115,0,Good
11,TikTok,2026-05-11,18:00,SQL Tip #1,Learn this SQL trick,Tutorial Hook,Coding,Tutorial,18,15,37100,2500,150,340,420,160,0,Strong
12,Instagram Reels,2026-05-12,16:00,Morning Routine,My 5 minute routine,Story Hook,Lifestyle,Demo,30,20,10200,610,42,50,65,25,0,Average
13,YouTube Shorts,2026-05-13,14:00,AI vs Humans,Will AI replace you?,Question,AI,Reaction,50,45,29100,1700,150,240,230,100,0,Good
14,TikTok,2026-05-14,21:00,Best Business Book,This book made me money,Story Hook,Business,Review,35,25,16400,840,72,90,110,42,0,Average
15,Instagram Reels,2026-05-15,12:00,Coding Project Idea,Build this project,Tutorial Hook,Coding,Case Study,60,120,25700,1800,140,220,260,105,0,Good
16,YouTube Shorts,2026-05-16,17:00,Productivity Myth,Stop doing this daily,Mistake,Productivity,Reaction,25,15,20800,1200,90,130,150,55,0,Good
17,TikTok,2026-05-17,19:00,Marketing Breakdown,Here's why it worked,Problem Solution,Marketing,Case Study,42,50,30100,2100,170,290,320,130,0,Good
18,Instagram Reels,2026-05-18,11:00,Tech Gadget Review,Is it worth it?,Question,Tech News,Review,30,40,11200,620,55,70,80,35,0,Average
19,YouTube Shorts,2026-05-19,15:00,Study Faster,The science says this,Shocking Fact,Study Tips,Tutorial,45,35,34300,2300,190,350,390,175,0,Strong
20,TikTok,2026-05-20,20:00,Career Growth,Nobody tells you this,Hot Take,Career,Storytelling,40,35,14300,700,55,60,80,30,0,Average
21,TikTok,2026-05-21,18:00,AI Automation Demo,Watch this happen live,Story Hook,AI,Demo,26,45,52100,3600,280,710,520,260,0,Excellent
22,Instagram Reels,2026-05-22,13:00,Excel Shortcut,This saves hours,Tutorial Hook,Productivity,Tutorial,18,10,26800,1800,140,240,270,110,0,Strong
23,YouTube Shorts,2026-05-23,16:00,Finance Breakdown,Most people get this wrong,Mistake,Finance,Case Study,52,60,23500,1400,120,190,210,90,0,Good
24,TikTok,2026-05-24,19:00,Startup Lessons,Learn from this failure,Story Hook,Business,Storytelling,58,65,18900,1100,90,120,140,55,0,Average
25,Instagram Reels,2026-05-25,12:00,Coding Workflow,My developer setup,Story Hook,Coding,Demo,32,50,21100,1450,110,180,200,75,0,Good
26,YouTube Shorts,2026-05-26,15:00,Tech Trends,This will explode soon,Hot Take,Tech News,Listicle,28,20,30500,2000,170,300,280,120,0,Strong
27,TikTok,2026-05-27,18:00,AI Side Hustle,Try this today,Problem Solution,AI,Challenge,30,35,45800,3100,250,560,470,220,0,Excellent
28,Instagram Reels,2026-05-28,14:00,Study Routine,My exam strategy,Story Hook,Study Tips,Storytelling,40,30,13600,820,60,85,95,38,0,Average
29,YouTube Shorts,2026-05-29,17:00,Marketing Examples,Great campaign breakdown,Case Study,Marketing,Case Study,55,70,24800,1650,130,220,250,95,0,Good
30,TikTok,2026-05-30,20:00,Data Analyst Skills,Learn these skills first,Tutorial Hook,Career,Tutorial,36,25,38900,2700,210,420,390,180,0,Strong
