video_id,platform,post_date,post_time,caption,hook_text,hook_type,topic,format,video_length_seconds,editing_time_minutes,views,likes,comments,shares,saves,followers_gained,revenue,notes,total_engagement_rate,engagement_rate,save_rate,share_rate,follower_conversion_rate,views_per_minute,engagement_per_minute,day_of_week,month,is_weekend,length_bucket
1,TikTok,2026-05-01,18:00,Best AI Tool This Week,This AI feels illegal,Shocking Fact,AI,Review,22,45,48200,3100,240,620,430,210,0,High performer,4390,0.09107883817427385,0.00892116182572614,0.012863070539419087,0.004356846473029046,1071.111111111111,97.55555555555556,Friday,May,False,15-30 sec
2,Instagram Reels,2026-05-02,12:00,Study Hack for Finals,Stop studying like this,Mistake,Study Tips,Tutorial,28,30,19500,1400,110,180,220,70,0,Strong engagement,1910,0.09794871794871794,0.011282051282051283,0.009230769230769232,0.0035897435897435897,650.0,63.666666666666664,Saturday,May,True,15-30 sec
3,YouTube Shorts,2026-05-03,15:00,Python in 60 Seconds,Learn Python fast,Tutorial Hook,Coding,Tutorial,55,60,32000,2200,160,260,340,120,0,Consistent performer,2960,0.0925,0.010625,0.008125,0.00375,533.3333333333334,49.333333333333336,Sunday,May,True,31-60 sec
4,TikTok,2026-05-04,20:00,Why Most Startups Fail,Nobody talks about this,Hot Take,Business,Storytelling,45,50,15100,820,75,90,100,45,0,Average,1085,0.07185430463576159,0.006622516556291391,0.005960264900662252,0.002980132450331126,302.0,21.7,Monday,May,False,31-60 sec
5,TikTok,2026-05-05,17:00,Best Productivity App,This changed my workflow,Story Hook,Productivity,Review,24,35,40200,2600,180,450,390,180,0,High performer,3620,0.09004975124378109,0.009701492537313432,0.011194029850746268,0.004477611940298508,1148.5714285714287,103.42857142857143,Tuesday,May,False,15-30 sec
6,Instagram Reels,2026-05-06,11:00,Marketing Strategy Explained,Here's the secret,Question,Marketing,Case Study,60,70,12800,620,44,70,60,30,0,Average,794,0.06203125,0.0046875,0.00546875,0.00234375,182.85714285714286,11.342857142857143,Wednesday,May,False,31-60 sec
7,YouTube Shorts,2026-05-07,14:00,Tech News Recap,You missed this,Shocking Fact,Tech News,Listicle,40,25,22400,1300,95,140,150,60,0,Good,1685,0.07522321428571428,0.006696428571428571,0.00625,0.0026785714285714286,896.0,67.4,Thursday,May,False,31-60 sec
8,TikTok,2026-05-08,19:00,Finance Tip Everyone Needs,Do this before 25,Problem Solution,Finance,Tutorial,20,20,61300,4200,310,820,670,350,0,Top performer,6000,0.09787928221859707,0.010929853181076673,0.013376835236541599,0.005709624796084829,3065.0,300.0,Friday,May,False,15-30 sec
9,Instagram Reels,2026-05-09,13:00,Career Advice,My biggest career mistake,Mistake,Career,Storytelling,34,40,18200,920,60,95,110,40,0,Average,1185,0.06510989010989011,0.006043956043956044,0.0052197802197802195,0.002197802197802198,455.0,29.625,Saturday,May,True,31-60 sec
10,YouTube Shorts,2026-05-10,10:00,AI Business Idea,Steal this business idea,Hot Take,AI,Case Study,58,80,28100,1900,170,260,280,115,0,Good,2610,0.09288256227758007,0.0099644128113879,0.009252669039145907,0.004092526690391459,351.25,32.625,Sunday,May,True,31-60 sec
11,TikTok,2026-05-11,18:00,SQL Tip #1,Learn this SQL trick,Tutorial Hook,Coding,Tutorial,18,15,37100,2500,150,340,420,160,0,Strong,3410,0.09191374663072777,0.011320754716981131,0.009164420485175202,0.00431266846361186,2473.3333333333335,227.33333333333334,Monday,May,False,15-30 sec
12,Instagram Reels,2026-05-12,16:00,Morning Routine,My 5 minute routine,Story Hook,Lifestyle,Demo,30,20,10200,610,42,50,65,25,0,Average,767,0.07519607843137255,0.006372549019607843,0.004901960784313725,0.0024509803921568627,510.0,38.35,Tuesday,May,False,15-30 sec
13,YouTube Shorts,2026-05-13,14:00,AI vs Humans,Will AI replace you?,Question,AI,Reaction,50,45,29100,1700,150,240,230,100,0,Good,2320,0.07972508591065292,0.007903780068728522,0.008247422680412371,0.003436426116838488,646.6666666666666,51.55555555555556,Wednesday,May,False,31-60 sec
