Video_ID,Date,Platform,Title,Hook_Type,Category,Length_Seconds,Views,Likes,Comments,Shares,Saves,Retention_Percent,Production_Time_Minutes
1,2026-06-01,TikTok,Secret AI Tool #1,Curiosity,AI Tools,18,2100,185,14,42,58,72,25
2,2026-06-02,TikTok,Website That Feels Illegal,Shock,Websites,22,4800,390,31,95,102,68,20
3,2026-06-03,Reels,Best Free AI Workflow,Tutorial,AI Tools,35,1700,120,9,24,39,61,40
4,2026-06-04,TikTok,Why Nobody Uses This Site,Curiosity,Websites,17,3200,245,18,51,66,75,18
5,2026-06-05,Shorts,3 AI Hacks Students Need,Tutorial,Productivity,28,1500,105,8,20,31,58,35
6,2026-06-06,TikTok,This Tool Replaced Google,Shock,AI Tools,19,6200,510,44,133,145,73,22
7,2026-06-07,Reels,Stop Using ChatGPT Wrong,Question,AI Tools,25,2600,190,22,35,48,66,30
8,2026-06-08,TikTok,Underrated Productivity Site,Curiosity,Websites,16,3900,315,25,72,84,77,15
9,2026-06-09,Shorts,AI Notes in Seconds,Authority,AI Tools,24,1800,135,11,28,36,63,27
10,2026-06-10,TikTok,This Website Saves Hours,Curiosity,Productivity,15,5100,420,29,88,110,79,14
11,2026-06-11,Reels,Best Student AI Stack,Tutorial,AI Tools,38,2200,150,12,29,44,57,42
12,2026-06-12,TikTok,Nobody Talks About This,Curiosity,Websites,18,4100,330,23,69,87,74,18
13,2026-06-13,Shorts,I Tested 5 AI Tools,Authority,AI Tools,42,2700,210,18,43,51,60,50
14,2026-06-14,TikTok,Most Addictive Website,Shock,Websites,21,7300,615,48,154,166,70,19
15,2026-06-15,Reels,Can AI Replace Notes,Question,Productivity,23,1900,132,15,25,37,62,25
16,2026-06-16,TikTok,This Productivity Trick Works,Curiosity,Productivity,17,4500,355,24,78,94,76,16
17,2026-06-17,Shorts,AI Tool Ranking,Tutorial,AI Tools,31,2300,162,14,34,46,59,36
18,2026-06-18,TikTok,Most Useful Website Ever,Shock,Websites,20,6800,560,41,141,158,71,20
19,2026-06-19,Reels,Why This Went Viral,Authority,Content Creation,27,2800,225,19,49,60,65,33
20,2026-06-20,TikTok,Hidden Tool for Students,Curiosity,Productivity,16,4700,380,26,82,97,78,15
21,2026-06-21,Shorts,AI Workflow Breakdown,Tutorial,AI Tools,36,2100,145,12,31,41,58,45
22,2026-06-22,TikTok,This Site Shouldn't Exist,Shock,Websites,18,8100,670,54,176,182,74,18
23,2026-06-23,Reels,Do You Need This AI,Question,AI Tools,26,2000,141,17,27,34,61,29
24,2026-06-24,TikTok,Free Tool Better Than Paid,Curiosity,AI Tools,15,5400,450,30,91,120,81,14
25,2026-06-25,Shorts,Content Creator Stack,Authority,Content Creation,30,2600,205,18,42,58,64,35
26,2026-06-26,TikTok,This Saves 10 Hours Weekly,Curiosity,Productivity,17,5200,435,31,93,116,80,15
27,2026-06-27,Reels,AI vs Human Test,Question,AI Tools,24,2400,178,21,39,47,65,26
28,2026-06-28,TikTok,Most Powerful AI Site,Shock,AI Tools,19,7600,630,49,162,175,72,21
29,2026-06-29,Shorts,Top 3 AI Extensions,Tutorial,AI Tools,33,2200,156,13,33,42,57,38
30,2026-06-30,TikTok,Hidden Website Collection,Curiosity,Websites,16,4600,368,28,80,95,77,15
31,2026-07-01,Reels,What Makes Content Viral,Authority,Content Creation,29,3100,248,22,55,67,66,36
32,2026-07-02,TikTok,This AI Finds Anything,Shock,AI Tools,18,8400,710,58,184,191,75,19
33,2026-07-03,Shorts,AI Tool Review,Tutorial,AI Tools,34,2000,142,11,30,39,56,39
34,2026-07-04,TikTok,Most Useful Website 2026,Curiosity,Websites,17,4900,392,27,85,104,79,15
35,2026-07-05,Reels,Would You Use This,Question,Productivity,21,2100,148,16,29,35,60,24
36,2026-07-06,TikTok,This Website Is Crazy,Shock,Websites,20,7900,655,52,171,180,73,18
37,2026-07-07,Shorts,Student Productivity AI,Tutorial,Productivity,32,1800,126,10,26,32,55,37
38,2026-07-08,TikTok,Nobody Knows This Tool,Curiosity,AI Tools,15,5700,472,34,99,125,82,13
39,2026-07-09,Reels,Data Behind Viral Posts,Authority,Content Creation,28,3300,260,24,61,73,67,34
40,2026-07-10,TikTok,Most Addictive AI Tool,Shock,AI Tools,19,8800,745,61,191,205,76,20
41,2026-07-11,Shorts,AI Automation Guide,Tutorial,AI Tools,37,2400,168,15,35,49,58,44
42,2026-07-12,TikTok,This Tool Changed Everything,Curiosity,Productivity,16,5300,438,32,92,114,80,14
43,2026-07-13,Reels,Is This Worth Using,Question,Websites,22,2200,152,18,31,38,62,23
44,2026-07-14,TikTok,Most Underrated Website,Curiosity,Websites,17,5000,401,29,86,106,78,15
45,2026-07-15,Shorts,Creator Growth Secrets,Authority,Content Creation,31,2900,228,20,50,62,65,35
46,2026-07-16,TikTok,AI Tool Nobody Uses,Shock,AI Tools,18,8500,725,57,187,198,75,18
47,2026-07-17,Reels,Can This Save Time,Question,Productivity,24,2300,164,19,34,41,63,25
48,2026-07-18,TikTok,Best Hidden Website,Curiosity,Websites,16,5500,445,31,95,118,81,14
49,2026-07-19,Shorts,Ultimate AI Toolkit,Tutorial,AI Tools,39,2500,176,16,37,51,57,46
50,2026-07-20,TikTok,This AI Is Insane,Shock,AI Tools,19,9100,780,64,203,214,77,19
